CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,158,31,330,320,1.54,35,i,10,0,301,19,0,0
CURclassMarker,1607,159,32,330,320,1.549,35,i,10,0,301,19,0,0
CURclassMarker,1607,160,32,330,320,1.558,35,i,10,0,301,19,0,0
CURclassMarker,1607,161,32,330,320,1.567,35,i,10,0,301,19,0,0
CURclassMarker,1607,162,32,330,320,1.577,35,i,10,0,301,19,0,0
CURclassMarker,1607,163,33,330,320,1.586,35,i,10,0,301,19,0,0
CURclassMarker,1607,164,33,330,320,1.595,35,i,10,0,301,19,0,0
CURclassMarker,1607,165,33,330,320,1.604,35,i,10,0,301,19,0,0
CURclassMarker,1607,166,33,330,320,1.613,35,i,10,0,301,19,0,0
CURclassMarker,1607,167,34,330,320,1.622,35,i,10,0,301,19,0,0
CURclassMarker,1607,168,34,330,320,1.631,35,i,10,0,301,19,0,0
CURclassMarker,1607,169,34,330,320,1.64,35,i,10,0,301,19,0,0
CURclassMarker,1607,170,34,330,320,1.649,35,i,10,0,301,19,0,0
CURclassMarker,1607,171,35,330,320,1.658,35,i,10,0,301,19,0,0
CURclassMarker,1607,172,35,330,320,1.667,35,i,10,0,301,19,0,0
CURclassMarker,1607,173,35,330,320,1.677,35,i,10,0,301,19,0,0
CURclassMarker,1607,174,35,330,320,1.688,35,i,10,0,301,19,0,0
CURclassMarker,1607,175,36,330,320,1.697,35,i,10,0,301,19,0,0
CURclassMarker,1607,176,36,330,320,1.706,35,i,10,0,301,19,0,0
CURclassMarker,1607,177,36,330,320,1.715,35,i,10,0,301,19,0,0
CURclassMarker,1607,178,36,330,320,1.724,35,i,10,0,301,19,0,0
CURclassMarker,1607,179,37,330,320,1.733,35,i,10,0,301,19,0,0
CURclassMarker,1607,180,37,330,320,1.742,35,i,10,0,301,19,0,0
CURclassMarker,1607,181,37,330,320,1.762,35,i,10,0,301,19,0,0
CURclassMarker,1607,182,37,330,320,1.773,35,i,10,0,301,19,0,0
